,last
1698,25045
1699,25050
1700,25052
1701,25051
1702,25050
1703,25046
1704,25045
1705,25044
1706,25041
1707,25040
1708,25042
1709,25040
1710,25043
1711,25040
1712,25038
1713,25039
1714,25040
1715,25040
1716,25040
1717,25040
1718,25039
1719,25043
1720,25042
1721,25040
1722,25042
1723,25045
1724,25039
1725,25042
1726,25045
1727,25042
1728,25046
1729,25048
1730,25049
1731,25046
1732,25044
1733,25044
1734,25042
1735,25040
1736,25040
1737,25040
1738,25040
1739,25043
1740,25043
1741,25041
1742,25038
1743,25037
1744,25036
1745,25035
1746,25039
1747,25037
1748,25043
1749,25041
1750,25040
1751,25045
1752,25042
1753,25038
1754,25038
1755,25038
1756,25036
1757,25034
1758,25033
1759,25037
1760,25033
1761,25039
1762,25035
1763,25035
1764,25032
1765,25032
1766,25032
1767,25030
1768,25029
1769,25034
1770,25033
1771,25031
1772,25032
1773,25032
1774,25037
1775,25042
1776,25039
1777,25044
1778,25042
1779,25045
1780,25041
1781,25039
1782,25039
1783,25039
1784,25039
1785,25039
1786,25040
1787,25039
1788,25039
1789,25041
1790,25039
1791,25038
1792,25045
1793,25044
1794,25045
1795,25045
1796,25043
1797,25040
1798,25040
1799,25039
1800,25039
1801,25039
1802,25037
1803,25038
1804,25035
1805,25034
1806,25032
1807,25032
1808,25032
1809,25032
1810,25034
1811,25035
1812,25038
1813,25037
1814,25038
1815,25039
1816,25037
1817,25035
1818,25037
1819,25035
1820,25032
1821,25030
1822,25029
1823,25029
1824,25027
1825,25026
1826,25025
1827,25026
1828,25026
1829,25025
1830,25029
1831,25027
1832,25030
1833,25029
1834,25028
1835,25031
1836,25028
1837,25029
1838,25031
1839,25034
1840,25035
1841,25034
1842,25033
1843,25030
1844,25030
1845,25033
1846,25029
1847,25027
1848,25027
1849,25030
1850,25030
1851,25031
1852,25030
1853,25030
1854,25030
1855,25029
1856,25033
1857,25033
1858,25030
1859,25028
1860,25026
1861,25028
1862,25028
1863,25030
1864,25025
1865,25024
1866,25025
1867,25023
1868,25022
1869,25020
1870,25020
1871,25020
1872,25019
1873,25023
1874,25022
1875,25021
1876,25024
1877,25026
1878,25025
1879,25025
1880,25026
1881,25024
1882,25023
1883,25022
1884,25025
1885,25024
1886,25024
1887,25020
1888,25025
1889,25022
1890,25022
1891,25021
1892,25020
1893,25018
1894,25019
1895,25018
1896,25016
1897,25015
1898,25015
1899,25023
1900,25022
1901,25022
1902,25025
1903,25025
1904,25025
1905,25024
1906,25023
1907,25024
1908,25027
1909,25029
1910,25030
1911,25030
1912,25028
1913,25030
1914,25027
1915,25028
1916,25028
1917,25029
1918,25032
1919,25033
1920,25037
1921,25038
1922,25036
1923,25040
1924,25036
1925,25035
1926,25040
1927,25039
1928,25033
1929,25034
1930,25032
1931,25036
1932,25038
1933,25039
1934,25037
1935,25040
1936,25042
1937,25041
1938,25042
1939,25042
1940,25042
1941,25042
1942,25043
1943,25046
1944,25045
1945,25048
1946,25048
1947,25049
1948,25048
1949,25044
1950,25044
1951,25040
1952,25047
1953,25045
1954,25046
1955,25047
1956,25044
1957,25042
1958,25039
1959,25040
1960,25045
1961,25042
1962,25042
1963,25039
1964,25038
1965,25040
1966,25040
1967,25039
1968,25039
1969,25041
1970,25043
1971,25044
1972,25043
1973,25046
1974,25047
1975,25049
1976,25047
1977,25043
1978,25048
1979,25051
1980,25047
1981,25045
1982,25043
1983,25046
1984,25048
1985,25045
1986,25043
1987,25046
1988,25044
1989,25042
1990,25043
1991,25048
1992,25050
1993,25049
1994,25048
1995,25046
1996,25042
1997,25038
1998,25037
1999,25038
2000,25038
2001,25041
2002,25047
2003,25050
2004,25048
2005,25047
2006,25046
2007,25047
2008,25051
2009,25052
2010,25053
2011,25052
2012,25051
2013,25048
2014,25049
2015,25046
2016,25047
2017,25054
2018,25053
2019,25055
2020,25056
2021,25058
2022,25059
2023,25057
2024,25056
2025,25058
2026,25060
2027,25060
2028,25062
2029,25063
2030,25060
2031,25054
2032,25053
2033,25062
2034,25059
2035,25053
2036,25055
2037,25055
2038,25055
2039,25058
2040,25058
2041,25058
2042,25061
2043,25064
2044,25065
2045,25067
2046,25068
2047,25069
2048,25067
2049,25068
2050,25062
2051,25064
2052,25063
2053,25061
2054,25062
2055,25064
2056,25063
2057,25064
2058,25060
2059,25063
2060,25061
2061,25062
2062,25063
2063,25065
2064,25067
2065,25062
2066,25067
2067,25065
2068,25067
2069,25064
2070,25061
2071,25060
2072,25058
2073,25057
2074,25057
2075,25058
2076,25058
2077,25059
2078,25064
2079,25065
2080,25066
2081,25067
2082,25066
2083,25069
2084,25069
2085,25074
2086,25074
2087,25073
2088,25078
2089,25078
2090,25079
2091,25080
2092,25080
2093,25081
2094,25085
2095,25083
2096,25082
2097,25080
2098,25085
2099,25087
2100,25089
2101,25083
2102,25085
2103,25085
2104,25085
2105,25084
2106,25083
2107,25084
2108,25082
2109,25084
2110,25085
2111,25086
2112,25088
2113,25088
2114,25088
2115,25090
2116,25090
2117,25090
2118,25088
2119,25091
2120,25088
2121,25091
2122,25091
2123,25087
2124,25088
2125,25088
2126,25086
2127,25085
2128,25086
2129,25086
2130,25086
2131,25084
2132,25082
2133,25081
2134,25082
2135,25084
2136,25082
2137,25087
2138,25090
2139,25090
2140,25090
2141,25090
2142,25090
2143,25092
2144,25094
2145,25095
2146,25096
2147,25096
2148,25097
2149,25100
2150,25100
2151,25095
2152,25094
2153,25093
2154,25097
2155,25098
2156,25097
2157,25094
2158,25092
2159,25092
2160,25092
2161,25092
2162,25094
2163,25090
2164,25088
2165,25087
2166,25086
2167,25091
2168,25092
2169,25092
2170,25092
2171,25090
2172,25087
2173,25092
2174,25091
2175,25088
2176,25089
2177,25087
2178,25085
2179,25084
2180,25083
2181,25083
2182,25082
2183,25083
2184,25084
2185,25081
2186,25080
